station_prefix_id,prefix,station_name,station_type_id,city_id,city,cod_ibge,latitude,longitude,station_owner,ugrhi_id,ugrhi_name,ugrhi_cod,subugrhi_name,subugrhi_id,subugrhi_cod,transmission_type_name,measurement_gap,param_type,measurement_classification_type_id,public,qtd,value,read_value,max_value,min_value,min_date,max_date
866,275,São Paulo (Córrego Ipiranga- Rua Coronel Diogo),1,1,São Paulo,3550308,-23.581933,-46.614164,SAISP,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,10,,3,True,6,72760.13333333335,,72760.6,72760.0,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
868,397,São Paulo (Rio Pinheiros - Ponte João Dias),1,1,São Paulo,3550308,-23.644303064660775,-46.72613032739989,SP ÁGUAS,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,72097.20000000001,,72097.90000000001,72096.40000000001,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
870,516,São Paulo (Dreno do Brooklin),1,1,São Paulo,3550308,-23.615857218345752,-46.69671712846172,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,71873.53333333334,,71874.90000000001,71872.29999999999,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
875,580,São Paulo (Córrego Itaim - Rua Joaquim L. Veiga (PMSP/BT-03)),1,1,São Paulo,3550308,-23.582486,-46.775824,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,5,74069.07999999999,,74070.2,74067.8,2026-03-23T11:00:00.000Z,2026-03-23T11:40:00.000Z
877,612,São Paulo (Elevatório Yasuda),1,1,São Paulo,3550308,-23.612934,-46.697702,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,71485.06666666667,,71486.1,71484.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
878,730,São Paulo (Corrego Saracura Av. 9 de Julho),1,1,São Paulo,3550308,-23.549218,-46.641216,SAISP,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,10,,3,True,6,73180.61666666665,,73181.4,73179.9,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
880,731,São Paulo (Córrego Anhangabaú - Av. 23 de Maio),1,1,São Paulo,3550308,-23.547488,-46.638226,SAISP,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,5,,3,True,12,72866.46666666666,,72867.7,72865.3,2026-03-23T11:00:00.000Z,2026-03-23T11:55:00.000Z
881,741,Pedreira (Rio Jaguarí (CGH) - Bernardo Figueiredo - Jusante),1,507,Pedreira,3537107,-22.73946389,-46.94288056,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Jaguari,66,53,WEBSERVICE,10,,3,True,6,715.2333333333332,27.7715,716.0,714.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
882,740,Pedreira (Rio Jaguarí (CGH) - Bernardo Figueiredo - Montante),1,507,Pedreira,3537107,-22.7457333333,-46.91545,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Jaguari,66,53,WEBSERVICE,10,,3,True,6,224.88333333333333,22.885499999999997,225.2,224.7,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
885,783,São Paulo (Córrego Sapateiro Parque Ibirapuera),1,1,São Paulo,3550308,-23.590336,-46.654531,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,4,74429.35,,74429.6,74429.1,2026-03-23T11:00:00.000Z,2026-03-23T11:30:00.000Z
887,804,São Paulo (Córrego Itaquera Mirim 1),1,1,São Paulo,3550308,-23.540698,-46.417260,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,74536.51666666668,,74536.7,74536.2,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
908,826,São Paulo (Córrego Itaquera Soleira),1,1,São Paulo,3550308,-23.533329,-46.426999,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,74181.68333333333,,74184.0,74180.0,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
909,836,São Paulo (Córrego Mooca - Estação São Lucas),1,1,São Paulo,3550308,-23.590036,-46.543873,SAISP,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,10,,3,True,6,75002.78333333334,,75003.0,75002.59999999999,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
910,837,São Paulo (Córrego Boa Vista - Viaduto Tutóia),1,1,São Paulo,3550308,-23.581445,-46.649959,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,74964.11666666665,,74964.20000000001,74964.09999999999,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
912,844,São Paulo (Agua Vermelha),1,1,São Paulo,3550308,-23.494047,-46.418041,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,73866.1,,73866.6,73865.4,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
914,845,São Paulo (Córrego Lajeado),1,1,São Paulo,3550308,-23.506235,-46.404856,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,73674.99999999999,,73675.7,73674.5,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
917,856,São Paulo (Córrego Carandirú),1,1,São Paulo,3550308,-23.508053,-46.621313,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,71932.04999999999,,71932.9,71931.2,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
919,1000420,São Bernardo do Campo (Córrego Saracantan - Canarinho),1,88,São Bernardo do Campo,3548708,-23.708228,-46.531598,SAISP,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,60,,3,True,6,76693.0,,76693.4,76692.2,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
921,3E-148,São Paulo (Rio Aricanduva 3- Alt. Rua Gaia),1,1,São Paulo,3550308,-23.590053,-46.494836,SP ÁGUAS,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,74827.11666666665,,74828.2,74825.8,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
923,3E-149,Mauá (Rio Tamanduateí 1 - Av.Ant. Rosa Fioranvanti),1,453,Mauá,3529401,-23.664813,-46.454538,SP ÁGUAS,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,10,,3,True,6,76018.23333333334,,76018.9,76017.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
925,3E-150,Santo André (Rio Tamanduateí 7- Parque Marajoara),1,576,Santo André,3547809,-23.664120,-46.489367,SP ÁGUAS,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,10,,3,True,6,75605.15000000001,,75606.5,75604.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
